source_model,target_model,condition,sample_index,image_name,label,clean_correct,adv_correct,all_success,clean_correct_success
cait_s24_224,vit_base_patch16_224,opponent_baseline,0,ILSVRC2012_val_00000031.JPEG,324,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,1,ILSVRC2012_val_00000081.JPEG,970,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,2,ILSVRC2012_val_00000102.JPEG,159,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,3,ILSVRC2012_val_00000117.JPEG,638,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,4,ILSVRC2012_val_00000120.JPEG,645,True,True,False,False
cait_s24_224,vit_base_patch16_224,opponent_baseline,5,ILSVRC2012_val_00000138.JPEG,328,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,6,ILSVRC2012_val_00000166.JPEG,687,True,True,False,False
cait_s24_224,vit_base_patch16_224,opponent_baseline,7,ILSVRC2012_val_00000262.JPEG,1,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,8,ILSVRC2012_val_00000299.JPEG,69,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,9,ILSVRC2012_val_00000410.JPEG,598,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,10,ILSVRC2012_val_00000499.JPEG,398,True,True,False,False
cait_s24_224,vit_base_patch16_224,opponent_baseline,11,ILSVRC2012_val_00000526.JPEG,868,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,12,ILSVRC2012_val_00000537.JPEG,491,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,13,ILSVRC2012_val_00000548.JPEG,143,True,True,False,False
cait_s24_224,vit_base_patch16_224,opponent_baseline,14,ILSVRC2012_val_00000575.JPEG,600,False,False,True,False
cait_s24_224,vit_base_patch16_224,opponent_baseline,15,ILSVRC2012_val_00000602.JPEG,850,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,16,ILSVRC2012_val_00000695.JPEG,370,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,17,ILSVRC2012_val_00000724.JPEG,449,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,18,ILSVRC2012_val_00000781.JPEG,112,True,False,True,True
cait_s24_224,vit_base_patch16_224,opponent_baseline,19,ILSVRC2012_val_00000809.JPEG,863,True,False,True,True
